Repliccate,Gene_trees
10228,"(((((U,U),V),(((B,B),B),B)),((T,(S,((R,Q),((P,P),O)))),((L,L),((N,M),(K,(((J,J),J),(G,(I,((((F,(D,D)),((H,H),H)),E),C))))))))),A);"
2210,"((((U,V),B),((T,(S,((((R,R),(Q,Q)),(P,P)),(O,O)))),(((L,L),((((N,N),N),(M,M)),K)),((I,J),((F,((G,G),((E,H),(D,D)))),(C,C)))))),A);"
8149,"((((((((((V,V),V),(W,W)),((U,U),B)),(K,(((N,((((M,M),M),M),M)),L),(J,(((H,H),(E,(D,D))),((((G,G),F),G),(I,((C,C),C)))))))),T),S),(Q,((P,P),(O,O)))),R),A);"
2655,"(((((((U,W),V),B),(((((S,S),S),S),((P,P),((R,Q),O))),(T,((N,M),(K,(J,((((E,E),H),(F,D)),((((G,G),G),G),(I,C))))))))),A),A),A);"
7517,"(((((U,V),B),W),((T,(S,((((R,Q),R),P),O))),((J,J),(((N,M),(L,K)),(I,((E,((F,(G,G)),(H,H))),(D,C))))))),A);"
9714,"((G,((((((A,A),(((V,V),V),((U,(B,B)),(W,W)))),(((R,Q),(S,(P,P))),O)),(F,F)),(((((((L,H),K),M),L),L),N),(H,((J,J),((E,E),(I,C)))))),D)),T);"
2465,"(((((B,V),U),W),((T,(S,(((R,Q),(P,P)),O))),(((N,M),(L,K)),((J,J),((I,((F,(G,G)),((H,H),(((D,D),E),E)))),((((C,C),C),C),C)))))),A);"
3622,"((((U,V),(B,W)),(((T,T),(S,(((R,((Q,Q),Q)),((P,P),P)),O))),((((N,N),(M,M)),((L,L),(K,K))),(J,(((F,G),(((E,H),H),(D,D))),(I,C)))))),A);"
6157,"(A,((((V,V),((U,U),(B,B))),(W,W)),((S,(T,((R,(Q,(P,P))),O))),(((((N,N),N),M),L),((F,F),(J,(((I,I),((((E,H),E),H),(D,D))),((((C,G),C),C),G))))))));"
6320,"(((((((((V,V),V),(B,((U,U),W))),((L,(((N,N),(M,M)),((K,K),K))),((((G,(F,F)),I),(E,(H,D))),((J,J),C)))),(T,T)),S),(((Q,R),R),(P,P))),O),A);"
6783,"((A,A),(((B,(U,W)),V),(((S,((T,T),T)),((((((P,P),R),O),O),O),Q)),(((L,L),((N,M),K)),(((J,J),J),(F,(((((E,H),E),H),D),(G,(I,(C,C))))))))));"
9451,"(A,((((U,V),W),B),((S,(T,((((Q,R),R),(P,P)),(O,O)))),((((N,(M,M)),L),K),((J,J),(((E,E),E),((F,(G,G)),(((((D,D),H),H),C),I))))))));"
1740,"((((V,V),V),((U,U),((B,B),W))),(((S,T),(((R,Q),(P,P)),O)),((N,M),((L,K),((E,(H,(((D,D),D),(J,J)))),(G,(((C,C),I),F)))))));"
